tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	0	2.134551265236159	391.9944058835148	0.04279602881524968	1.0	1.0	1.0	7.0	0.0	0.0	16.0	1.0	0.4459566392786415	0.1608448579847011	0.021398014407624837	1.0	1.0	16.0	0.0
sourmash	4	2.0366079037696503	345.6244857825209	0.1910309706673161	1.0	1.0	1.0	15.0	0.0	0.0	19.0	1.0	1.7911970928216419	0.6083322172730926	0.09551548533365807	1.0	1.0	19.0	0.0
sourmash	40	1.4480706087413187	1485.8673744686675	0.2374168682436841	1.0	0.9444444444444444	0.9714285714285714	17.0	1.0	0.0	32.0	0.96875	2.039190178003229	0.5883859114469482	0.11870843412184202	0.96875	0.9841269841269841	31.0	1.0
sourmash	41	1.2318404097482507	768.3212999134789	0.14085733043020732	1.0	0.9444444444444444	0.9714285714285714	17.0	1.0	0.0	31.0	0.967741935483871	1.386800967055544	0.4038457001948746	0.07042866521510369	0.967741935483871	0.9836065573770492	30.0	1.0
sourmash	42	1.14457509731439	1251.2359313777586	0.2017275637134239	1.0	0.9444444444444444	0.9714285714285714	17.0	1.0	0.0	28.0	0.9642857142857143	2.118513956468455	0.6357694883370366	0.10086378185671195	0.9642857142857143	0.9818181818181818	27.0	1.0
sourmash	43	1.3428776648357175	1405.990273862255	0.16567830509430923	1.0	1.0	1.0	13.0	0.0	0.0	23.0	0.9565217391304348	1.4905908705718476	0.47539263922071584	0.0828391525471546	0.9565217391304348	0.9777777777777777	22.0	1.0
sourmash	44	1.3499828978208683	1270.9713441744734	0.1757907033791338	1.0	1.0	1.0	14.0	0.0	0.0	27.0	0.9629629629629629	1.7016013196914732	0.5162880897543908	0.08789535168956689	0.9629629629629629	0.9811320754716981	26.0	1.0
sourmash	45	1.2160672844132367	1421.890521950688	0.2326311204103855	0.9333333333333333	0.9	0.9163636363636364	9.0	1.0	2.0	29.0	0.9032258064516129	0.8707437453490537	0.2585884309881236	0.11631556020519274	0.9655172413793104	0.9491525423728815	28.0	1.0
sourmash	46	2.716263507659953	1067.1936351381614	0.2479031017008745	0.96	1.0	0.9795918367346939	15.0	0.0	1.0	24.0	0.96	1.4894570709236001	0.46866955389504167	0.12395155085043719	1.0	0.9795918367346939	24.0	0.0
sourmash	47	1.2837871556001386	932.1146077364867	0.19750997460116906	0.967741935483871	0.9444444444444444	0.9559512652296157	17.0	1.0	1.0	31.0	0.9375	2.274752593948795	0.6624231421065665	0.09875498730058453	0.967741935483871	0.967741935483871	30.0	1.0
sourmash	48	1.540097200916613	1505.8722747151278	0.26005681502852557	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	34.0	0.9705882352941176	2.168808468831719	0.6150274351394602	0.13002840751426276	0.9705882352941176	0.9850746268656716	33.0	1.0
sourmash	49	1.8683939588101948	525.7567106128563	0.20581332107005715	1.0	1.0	1.0	8.0	0.0	0.0	19.0	1.0	1.4454484470930888	0.49090793095745866	0.10290666053502856	1.0	1.0	19.0	0.0
sourmash	5	1.9044491379847635	1466.781495123328	0.3018893995745236	0.9655172413793104	0.9375	0.9513023782559457	15.0	1.0	1.0	29.0	0.9333333333333333	1.6182879890814523	0.4805897880044453	0.1509446997872618	0.9655172413793104	0.9655172413793104	28.0	1.0
sourmash	50	2.1188537226039283	590.5972248749542	0.2883950848907528	0.9523809523809523	1.0	0.975609756097561	10.0	0.0	1.0	20.0	0.9523809523809523	1.6012018874658451	0.5344943210049465	0.1441975424453764	1.0	0.975609756097561	20.0	0.0
sourmash	52	3.5871851245614135	723.4151038322253	0.575334480233402	1.0	1.0	1.0	9.0	0.0	0.0	15.0	1.0	1.559046316310281	0.5757080558092054	0.2876672401167009	1.0	1.0	15.0	0.0
sourmash	53	2.0077005987956165	1058.7572791497914	0.31713254448265393	0.9642857142857143	0.9375	0.9507042253521126	15.0	1.0	1.0	28.0	0.9310344827586207	1.6330983550725342	0.49009547585861335	0.15856627224132694	0.9642857142857143	0.9642857142857143	27.0	1.0
sourmash	54	2.181449974194914	1155.9483214627764	0.33007298282530123	0.9629629629629629	0.9230769230769231	0.9425981873111782	12.0	1.0	1.0	27.0	0.9285714285714286	1.6029086091097606	0.4863434309031894	0.16503649141265064	0.9629629629629629	0.9629629629629629	26.0	1.0
sourmash	55	1.2874782612570828	1308.9294323120207	0.2184850665289863	1.0	1.0	1.0	8.0	0.0	0.0	24.0	0.9583333333333334	0.8113003090525029	0.25528211678015494	0.10924253326449317	0.9583333333333334	0.9787234042553191	23.0	1.0
sourmash	56	1.203124210239425	1267.9134996424555	0.21322874257320484	1.0	1.0	1.0	8.0	0.0	0.0	24.0	0.9583333333333334	0.8133274564223969	0.25591997487762835	0.10661437128660241	0.9583333333333334	0.9787234042553191	23.0	1.0
sourmash	57	1.1375852522157222	1181.996214025317	0.17936462549502136	1.0	1.0	1.0	17.0	0.0	0.0	32.0	0.96875	1.815116977014558	0.523732052274454	0.08968231274751065	0.96875	0.9841269841269841	31.0	1.0
