tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	0	2.134551265236159	391.9944058835148	0.042603897576187016	1.0	1.0	1.0	3.0	0.0	0.0	9.0	1.0	0.39033722352333383	0.17765012623177315	0.0213019487880935	1.0	1.0	9.0	0.0
sourmash	4	2.0366079037696503	345.6244857825209	0.17417176166608875	1.0	1.0	1.0	8.0	0.0	0.0	11.0	1.0	1.3516627608412974	0.5636871535527453	0.0870858808330444	1.0	1.0	11.0	0.0
sourmash	40	1.4480706087413187	1485.8673744686675	0.13275371304536565	1.0	1.0	1.0	6.0	0.0	0.0	14.0	1.0	1.2225945710032575	0.4632694247614153	0.06637685652268283	1.0	1.0	14.0	0.0
sourmash	41	1.2318404097482507	768.3212999134789	0.1215490448259463	1.0	1.0	1.0	9.0	0.0	0.0	15.0	1.0	1.12223545022922	0.41440718114178837	0.06077452241297314	1.0	1.0	15.0	0.0
sourmash	42	1.14457509731439	1251.2359313777586	0.05799342654367564	1.0	1.0	1.0	8.0	0.0	0.0	15.0	1.0	1.2470849444499001	0.4605102756006226	0.02899671327183782	1.0	1.0	15.0	0.0
sourmash	43	1.3428776648357175	1405.990273862255	0.11832909387555729	1.0	1.0	1.0	5.0	0.0	0.0	9.0	1.0	0.9152070828486809	0.41652869364779355	0.059164546937778645	1.0	1.0	9.0	0.0
sourmash	44	1.3499828978208683	1270.9713441744734	0.10498095347629274	1.0	1.0	1.0	5.0	0.0	0.0	13.0	1.0	1.002890221832153	0.39099805963603396	0.052490476738146344	1.0	1.0	13.0	0.0
sourmash	45	1.2160672844132367	1421.890521950688	0.12696654050648443	0.8571428571428571	1.0	0.923076923076923	3.0	0.0	2.0	12.0	0.8571428571428571	0.3638937625605166	0.1464416229042496	0.0634832702532422	1.0	0.923076923076923	12.0	0.0
sourmash	46	2.716263507659953	1067.1936351381614	0.19725103764225252	0.9166666666666666	1.0	0.9565217391304348	5.0	0.0	1.0	11.0	0.9166666666666666	0.953814232691284	0.3977714304337287	0.09862551882112625	1.0	0.9565217391304348	11.0	0.0
sourmash	47	1.2837871556001386	932.1146077364867	0.06868489653570099	0.9444444444444444	1.0	0.9714285714285714	8.0	0.0	1.0	17.0	0.9444444444444444	1.2599728410545563	0.444715130153487	0.034342448267850496	1.0	0.9714285714285714	17.0	0.0
sourmash	48	1.540097200916613	1505.8722747151278	0.09067451156203425	1.0	1.0	1.0	8.0	0.0	0.0	17.0	1.0	1.0774379813072505	0.38028833358688013	0.04533725578101713	1.0	1.0	17.0	0.0
sourmash	49	1.8683939588101948	525.7567106128563	0.1730357248573731	1.0	1.0	1.0	3.0	0.0	0.0	11.0	1.0	0.8341429285909	0.34786462029988735	0.08651786242868653	1.0	1.0	11.0	0.0
sourmash	5	1.9044491379847635	1466.781495123328	0.23494351164739513	0.9333333333333333	1.0	0.9655172413793104	7.0	0.0	1.0	14.0	0.9333333333333333	0.9572021948341112	0.36270610118714597	0.11747175582369755	1.0	0.9655172413793104	14.0	0.0
sourmash	50	2.1188537226039283	590.5972248749542	0.04735948136887767	1.0	1.0	1.0	5.0	0.0	0.0	13.0	1.0	0.8620808130430194	0.3361005200883179	0.023679740684438826	1.0	1.0	13.0	0.0
sourmash	52	3.5871851245614135	723.4151038322253	0.57029698153405	1.0	1.0	1.0	5.0	0.0	0.0	7.0	1.0	1.012046512687382	0.5200890252711325	0.285148490767025	1.0	1.0	7.0	0.0
sourmash	53	2.0077005987956165	1058.7572791497914	0.2456658742675921	0.9230769230769231	1.0	0.9600000000000001	6.0	0.0	1.0	12.0	0.9230769230769231	0.8658376424405245	0.34843869990624937	0.12283293713379605	1.0	0.9600000000000001	12.0	0.0
sourmash	54	2.181449974194914	1155.9483214627764	0.29304499925609906	0.9166666666666666	1.0	0.9565217391304348	3.0	0.0	1.0	11.0	0.9166666666666666	0.9852642957788175	0.4108871254535662	0.14652249962804953	1.0	0.9565217391304348	11.0	0.0
sourmash	55	1.2874782612570828	1308.9294323120207	0.15690200952285527	1.0	1.0	1.0	3.0	0.0	0.0	10.0	1.0	0.39184618072328287	0.1701766340429861	0.07845100476142762	1.0	1.0	10.0	0.0
sourmash	56	1.203124210239425	1267.9134996424555	0.13271175057814008	1.0	1.0	1.0	3.0	0.0	0.0	10.0	1.0	0.34723146995170434	0.15080071134318	0.06635587528907004	1.0	1.0	10.0	0.0
sourmash	57	1.1375852522157222	1181.996214025317	0.08553580272899441	1.0	1.0	1.0	8.0	0.0	0.0	15.0	1.0	0.9909317810372719	0.36592075753763736	0.0427679013644972	1.0	1.0	15.0	0.0
sourmash	58	1.113565628358946	1520.0042135878537	0.08056609883726733	1.0	1.0	1.0	8.0	0.0	0.0	16.0	1.0	1.0180626715174326	0.36718849187809244	0.040283049418633664	1.0	1.0	16.0	0.0
