tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	0	2.134551265236159	391.9944058835148	1.2917929115549491	0.859375	0.9655172413793104	0.9093593150280483	28.0	1.0	9.0	58.0	0.8208955223880597	1.42989279534177	0.3521519183073936	0.6458964557774742	0.9482758620689655	0.9016393442622951	55.0	3.0
sourmash	4	2.0366079037696503	345.6244857825209	0.34252330507227685	0.9354838709677419	0.9615384615384616	0.9483322432962721	50.0	2.0	4.0	60.0	0.90625	3.231146104255284	0.7891729812064625	0.17126165253613845	0.9666666666666667	0.9508196721311476	58.0	2.0
sourmash	40	1.4480706087413187	1485.8673744686675	0.3392372809033982	0.8864628820960698	0.9806451612903225	0.9311786096902208	152.0	3.0	26.0	211.0	0.8565400843881856	3.5919345058032808	0.6711565247470967	0.16961864045169917	0.9620853080568721	0.9227272727272727	203.0	8.0
sourmash	41	1.2318404097482507	768.3212999134789	0.42902770411204516	0.9347826086956522	0.9900990099009901	0.9616459800961645	100.0	1.0	9.0	132.0	0.9148936170212766	3.177965940934309	0.6508488346074405	0.2145138520560227	0.9772727272727273	0.9555555555555557	129.0	3.0
sourmash	42	1.14457509731439	1251.2359313777586	0.28731277595076143	0.885	0.965034965034965	0.9232862731757101	138.0	5.0	23.0	185.0	0.8509615384615384	3.721960418464809	0.7129706370942571	0.14365638797538063	0.9567567567567568	0.9194805194805195	177.0	8.0
sourmash	43	1.3428776648357175	1405.990273862255	0.3926508102915443	0.8725490196078431	0.9694656488549618	0.9184577255921667	127.0	4.0	26.0	184.0	0.8476190476190476	3.3365387999926743	0.6398043916695257	0.19632540514577232	0.967391304347826	0.9175257731958762	178.0	6.0
sourmash	44	1.3499828978208683	1270.9713441744734	0.40689754307824527	0.8737373737373737	0.9609375	0.9152651726955998	123.0	5.0	25.0	180.0	0.8439024390243902	3.475255138874506	0.6692247285433838	0.20344877153912233	0.9611111111111111	0.9153439153439152	173.0	7.0
sourmash	45	1.2160672844132367	1421.890521950688	0.24107586457319147	0.7947368421052632	0.975609756097561	0.8759335798709303	80.0	2.0	39.0	157.0	0.7704081632653061	1.2368747409386331	0.2446231430501882	0.12053793228659584	0.9617834394904459	0.8703170028818443	151.0	6.0
sourmash	46	2.716263507659953	1067.1936351381614	0.3186088724244716	0.88125	0.9574468085106383	0.9177695812540682	90.0	4.0	19.0	148.0	0.844311377245509	2.728446338957613	0.5459936839750116	0.15930443621223564	0.9527027027027027	0.9155844155844156	141.0	7.0
sourmash	47	1.2837871556001386	932.1146077364867	0.325411521883697	0.9139072847682119	0.9714285714285714	0.941790445604175	102.0	3.0	13.0	143.0	0.8846153846153846	3.7073704887670003	0.7470252979837579	0.1627057609418484	0.965034965034965	0.9387755102040817	138.0	5.0
sourmash	48	1.540097200916613	1505.8722747151278	0.3625159356558721	0.8571428571428571	0.9565217391304348	0.904109589041096	132.0	6.0	31.0	194.0	0.8266666666666667	3.62416493109792	0.6879769389505219	0.18125796782793618	0.9587628865979382	0.9051094890510949	186.0	8.0
sourmash	49	1.8683939588101948	525.7567106128563	0.38076254089560807	0.8977272727272727	0.94	0.9183774424931981	47.0	3.0	9.0	89.0	0.8061224489795918	2.3920882911581187	0.5329209350279508	0.19038127044780412	0.8876404494382022	0.8926553672316383	79.0	10.0
sourmash	5	1.9044491379847635	1466.781495123328	0.3270991217640773	0.8252427184466019	0.98	0.8959879531031515	98.0	2.0	36.0	175.0	0.8056872037914692	2.223451106860413	0.43050208045142513	0.1635495608820385	0.9714285714285714	0.8923884514435696	170.0	5.0
sourmash	50	2.1188537226039283	590.5972248749542	0.3055572622749752	0.8602150537634409	0.975609756097561	0.9142857142857143	40.0	1.0	13.0	83.0	0.8333333333333334	2.2043825344001933	0.4988599340991804	0.1527786311374876	0.963855421686747	0.909090909090909	80.0	3.0
sourmash	52	3.5871851245614135	723.4151038322253	0.6014440953974493	0.79	0.95	0.8626436781609195	38.0	2.0	21.0	83.0	0.7596153846153846	2.134252746686061	0.48298930333001544	0.3007220476987246	0.9518072289156626	0.8633879781420766	79.0	4.0
sourmash	53	2.0077005987956165	1058.7572791497914	0.3320819067658086	0.8701298701298701	0.9770114942528736	0.9204784224987879	85.0	2.0	20.0	142.0	0.8271604938271605	2.097037804069586	0.4231458805353475	0.16604095338290434	0.9436619718309859	0.9054054054054054	134.0	8.0
sourmash	54	2.181449974194914	1155.9483214627764	0.38481067025161325	0.8666666666666667	0.9662921348314607	0.9137719656722517	86.0	3.0	22.0	151.0	0.8265895953757225	2.181746912763971	0.434846567009304	0.19240533512580665	0.9470198675496688	0.9050632911392406	143.0	8.0
sourmash	55	1.2874782612570828	1308.9294323120207	0.2337249869761381	0.8360655737704918	0.963855421686747	0.8954241193898825	80.0	3.0	30.0	158.0	0.8138297872340425	1.13596481626065	0.22438389972927528	0.11686249348806907	0.9683544303797469	0.8973607038123167	153.0	5.0
sourmash	56	1.203124210239425	1267.9134996424555	0.22992341664676347	0.8292682926829268	0.9714285714285714	0.8947368421052632	68.0	2.0	28.0	141.0	0.8047337278106509	1.1417840759392943	0.2307212516330112	0.11496170832338168	0.9645390070921985	0.8918032786885245	136.0	5.0
sourmash	57	1.1375852522157222	1181.996214025317	0.31242648403009016	0.8511904761904762	0.9805825242718447	0.9113165283780799	101.0	2.0	25.0	150.0	0.8171428571428572	3.2017101344008676	0.6389828727253926	0.1562132420150452	0.9533333333333334	0.89937106918239	143.0	7.0
sourmash	58	1.113565628358946	1520.0042135878537	0.30159600868340364	0.8378378378378378	0.9496402877697842	0.8902425758729468	132.0	7.0	36.0	195.0	0.8051948051948052	3.4360688324145285	0.6516345761558229	0.15079800434170165	0.9538461538461539	0.8920863309352518	186.0	9.0
sourmash	59	1.3494503483922415	1557.2131564741028	0.30101242815286233	0.8465116279069768	0.9558823529411765	0.8978786383818451	130.0	6.0	33.0	195.0	0.7982456140350878	3.391137054659685	0.6431134721322371	0.15050621407643103	0.9333333333333333	0.8878048780487804	182.0	13.0
sourmash	6	2.0470764818462777	1419.7577557008121	0.3513518666417132	0.8685446009389671	0.9747899159663865	0.918605397769835	116.0	3.0	28.0	190.0	0.8486238532110092	2.573352415514373	0.4904403677444505	0.175675933320857	0.9736842105263158	0.9181141439205955	185.0	5.0
sourmash	60	1.0165759183351852	1513.0587863564615	0.2883990579969584	0.8711111111111111	0.9577464788732394	0.9123767798466592	136.0	6.0	29.0	207.0	0.8305084745762712	3.3878255352296254	0.6352904900044744	0.14419952899847918	0.9468599033816425	0.9074074074074072	196.0	11.0
sourmash	61	1.388853471394338	1508.12249467465	0.33948003899866086	0.9047619047619048	0.9813664596273292	0.9415085463384036	158.0	3.0	22.0	216.0	0.8781512605042017	3.931047442553738	0.7313197837221149	0.1697400194993303	0.9675925925925926	0.9351230425055929	209.0	7.0
sourmash	62	1.890245644475749	533.3671170743469	0.40510708914337284	0.9156626506024096	0.967741935483871	0.9409822534048701	60.0	2.0	7.0	79.0	0.8837209302325582	3.030045455243608	0.6934618646456263	0.20255354457168637	0.9620253164556962	0.9382716049382716	76.0	3.0
sourmash	63	1.6080193857409448	316.42106711502294	0.42879530896548274	0.9661016949152542	0.9574468085106383	0.9617547806524184	45.0	2.0	2.0	61.0	0.9047619047619048	2.8822353152288214	0.7011247268732321	0.21439765448274142	0.9344262295081968	0.95	57.0	4.0
