tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	0	2.134551265236159	391.9944058835148	0.6661283109918651	0.36	0.6944444444444444	0.4741833508956796	25.0	11.0	48.0	41.0	0.30337078651685395	2.5890595201060163	0.6971884411021366	0.33306415549593243	0.6585365853658537	0.46551724137931033	27.0	14.0
sourmash	4	2.0366079037696503	345.6244857825209	0.907360398574124	0.43661971830985913	1.0	0.607843137254902	26.0	0.0	40.0	34.0	0.4189189189189189	2.7945644223278214	0.7924783648240292	0.4536801992870621	0.9117647058823529	0.5904761904761904	31.0	3.0
sourmash	40	1.4480706087413187	1485.8673744686675	0.3232306435516582	0.3710247349823322	0.9615384615384616	0.5354411014788373	75.0	3.0	178.0	112.0	0.3620689655172414	2.989582548501201	0.6335876366715428	0.16161532177582918	0.9375	0.5316455696202532	105.0	7.0
sourmash	41	1.2318404097482507	768.3212999134789	0.2808618192659162	0.42168674698795183	0.9344262295081968	0.5811243810078649	57.0	4.0	96.0	79.0	0.4	3.13577642605661	0.7176596521883487	0.1404309096329581	0.8860759493670886	0.5714285714285715	70.0	9.0
sourmash	42	1.14457509731439	1251.2359313777586	0.2981844218334757	0.3598326359832636	0.96875	0.5247515008365319	62.0	2.0	153.0	89.0	0.35537190082644626	2.916653511681646	0.6497860979225853	0.14909221091673788	0.9662921348314607	0.5243902439024389	86.0	3.0
sourmash	43	1.3428776648357175	1405.990273862255	0.24971962765831016	0.3524904214559387	0.9692307692307692	0.5169691834277305	63.0	2.0	169.0	100.0	0.3420074349442379	2.2243181922842745	0.4830045584530383	0.12485981382915502	0.92	0.5096952908587258	92.0	8.0
sourmash	44	1.3499828978208683	1270.9713441744734	0.26502976119325106	0.357429718875502	0.967741935483871	0.5220451657053475	60.0	2.0	160.0	95.0	0.34901960784313724	2.424947724616492	0.5325018181956608	0.13251488059662556	0.9368421052631579	0.5174418604651162	89.0	6.0
sourmash	45	1.2160672844132367	1421.890521950688	0.16893167231458311	0.27232142857142855	1.0	0.42807017543859643	24.0	0.0	163.0	67.0	0.26521739130434785	0.8576359575257987	0.2039711425207639	0.08446583615729159	0.9104477611940298	0.4192439862542955	61.0	6.0
sourmash	46	2.716263507659953	1067.1936351381614	1.3231137699640831	0.31958762886597936	0.9591836734693877	0.4794340243501152	47.0	2.0	132.0	68.0	0.31	2.7054490116234686	0.6411764595914047	0.6615568849820419	0.9117647058823529	0.4732824427480915	62.0	6.0
sourmash	47	1.2837871556001386	932.1146077364867	0.43884879534157006	0.3548387096774194	0.9056603773584906	0.509898599710285	48.0	5.0	120.0	75.0	0.3384615384615385	2.967359823794713	0.6872884755585923	0.21942439767078534	0.88	0.5057471264367815	66.0	9.0
sourmash	48	1.540097200916613	1505.8722747151278	0.3844420996824073	0.32558139534883723	0.9491525423728814	0.48484848484848486	56.0	3.0	174.0	91.0	0.3169811320754717	2.867887274893612	0.6357740183994576	0.1922210498412035	0.9230769230769231	0.48137535816618915	84.0	7.0
sourmash	49	1.8683939588101948	525.7567106128563	0.44112350743612844	0.35789473684210527	1.0	0.5271317829457365	19.0	0.0	61.0	35.0	0.3541666666666667	1.5233183512614221	0.42845829013524783	0.22056175371806422	0.9714285714285714	0.5230769230769231	34.0	1.0
sourmash	5	1.9044491379847635	1466.781495123328	0.3017963553737235	0.3346456692913386	0.9782608695652174	0.49869621903520217	45.0	1.0	169.0	88.0	0.33073929961089493	1.7989850849653493	0.4017980240280415	0.1508981776868617	0.9659090909090909	0.4970760233918129	85.0	3.0
sourmash	50	2.1188537226039283	590.5972248749542	1.1044043315121852	0.39823008849557523	0.8620689655172413	0.5447941888619855	25.0	4.0	68.0	56.0	0.3629032258064516	1.871819837310825	0.4650077759960831	0.5522021657560924	0.8035714285714286	0.5325443786982249	45.0	11.0
sourmash	52	3.5871851245614135	723.4151038322253	0.11160548845772446	0.2773109243697479	0.8888888888888888	0.42273819055244205	16.0	2.0	86.0	43.0	0.2558139534883721	1.1192319523905425	0.29757309315198643	0.05580274422886221	0.7674418604651163	0.4074074074074075	33.0	10.0
sourmash	53	2.0077005987956165	1058.7572791497914	0.34429718941370674	0.32967032967032966	0.96875	0.49193335096535307	31.0	1.0	122.0	66.0	0.3191489361702128	1.3741352647301979	0.32798293638524617	0.17214859470685331	0.9090909090909091	0.4838709677419355	60.0	6.0
sourmash	54	2.181449974194914	1155.9483214627764	0.3631608376811053	0.32663316582914576	0.9705882352941176	0.48877748661273784	33.0	1.0	134.0	72.0	0.3155339805825243	1.4289744862003813	0.334132814307503	0.18158041884055273	0.9027777777777778	0.47970479704797053	65.0	7.0
sourmash	55	1.2874782612570828	1308.9294323120207	0.1782708026537534	0.3287671232876712	1.0	0.49484536082474223	25.0	0.0	147.0	75.0	0.32432432432432434	0.8233761495432437	0.1907072186167164	0.08913540132687672	0.96	0.4897959183673469	72.0	3.0
sourmash	56	1.203124210239425	1267.9134996424555	0.17149668431782303	0.27319587628865977	1.0	0.4291497975708502	18.0	0.0	141.0	56.0	0.26903553299492383	0.8505924619418288	0.21130885629187973	0.0857483421589116	0.9464285714285714	0.424	53.0	3.0
sourmash	57	1.1375852522157222	1181.996214025317	0.2554406026082328	0.36792452830188677	0.9607843137254902	0.5320896561325351	49.0	2.0	134.0	84.0	0.3577981651376147	2.4594487228321453	0.5550779539055184	0.12772030130411646	0.9285714285714286	0.527027027027027	78.0	6.0
sourmash	58	1.113565628358946	1520.0042135878537	0.25436713730162613	0.38596491228070173	0.9382716049382716	0.5469414458619561	76.0	5.0	175.0	118.0	0.37542662116040953	2.7076334651073832	0.5675565832253371	0.12718356865081298	0.9322033898305084	0.5459057071960297	110.0	8.0
sourmash	59	1.3494503483922415	1557.2131564741028	0.4863800270294586	0.36769759450171824	0.9620253164556962	0.5320422650397462	76.0	3.0	184.0	116.0	0.3566666666666667	2.9847386785605554	0.6278914585747828	0.24319001351472924	0.9224137931034483	0.5257985257985257	107.0	9.0
