rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	2.6317997622950666	3948.090207709281	0.0032355630583106305	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.012686985463834542	0.009151725506252229	0.001617781529155315
superkingdom	34	2.6317997622950666	3948.090207709281	0.006432359405561616	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.023374752301840634	0.016861319613936682	0.0032161797027808075
superkingdom	33	2.6317997622950666	3948.090207709281	0.009048132437253074	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.030961078329348683	0.02233369708316305	0.004524066218626536
superkingdom	32	2.6317997622950666	3948.090207709281	0.0055093095266822685	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.021192354960635082	0.015287052703233429	0.0027546547633411347
superkingdom	31	2.6317997622950666	3948.090207709281	0.005031800982207809	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.018858221620691118	0.013603331406078053	0.0025159004911039047
superkingdom	30	2.6317997622950666	3948.090207709281	0.007163338196086932	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.025441325973123534	0.018352037407532454	0.0035816690980434666
superkingdom	3	2.6317997622950666	3948.090207709281	0.020568663036903887	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.06290658323867358	0.04537750783885158	0.010284331518451942
superkingdom	29	2.6317997622950666	3948.090207709281	0.0056183157092122215	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.021556645005320684	0.015549832423689998	0.0028091578546061103
superkingdom	28	2.6317997622950666	3948.090207709281	0.0032810314113469784	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.012706022207894798	0.009165457614377431	0.0016405157056734892
superkingdom	27	2.6317997622950666	3948.090207709281	0.005391757451389098	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.01973720207667041	0.014237381778517876	0.002695878725694549
