rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	3.8918606111850162	1923.9959685071403	7.4262987518393925e-06	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	5.0140988981384604e-05	7.233815614871173e-05	3.7131493759196962e-06
superkingdom	34	3.8918606111850162	1923.9959685071403	0.0011855085605484675	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.00535232792346334	0.004871898829706497	0.0005927542802742339
superkingdom	33	3.8918606111850162	1923.9959685071403	0.0007467820896494109	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.0033565431665522824	0.003055257256062145	0.00037339104482470546
superkingdom	32	3.8918606111850162	1923.9959685071403	0.0021362530335235974	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.008375516296802606	0.012083315826281816	0.0010681265167617987
superkingdom	31	3.8918606111850162	1923.9959685071403	8.148353826811413e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00045256920093799356	0.0006529193418523242	4.0741769134057064e-05
superkingdom	30	3.8918606111850162	1923.9959685071403	9.4390161734131e-06	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	6.259862845877314e-05	9.031073084392274e-05	4.71950808670655e-06
superkingdom	3	3.8918606111850162	1923.9959685071403	0.0003349703648452018	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.0016804986739281918	0.001529655813303823	0.0001674851824226009
superkingdom	29	3.8918606111850162	1923.9959685071403	0.0003021634178414934	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0014802402973107664	0.0021355353362542476	0.0001510817089207467
superkingdom	28	3.8918606111850162	1923.9959685071403	4.018808425312922e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00023741265800800924	0.0003425140643524224	2.009404212656461e-05
superkingdom	27	3.8918606111850162	1923.9959685071403	1.5467563865731372e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	9.875968914334919e-05	0.00014248011376684548	7.733781932865686e-06
superkingdom	26	3.8918606111850162	1923.9959685071403	5.557992332774055e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0003193294972695751	0.0004606950821203818	2.7789961663870275e-05
superkingdom	25	3.8918606111850162	1923.9959685071403	0.00011031691195430789	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0005960021705361396	0.0008598493757915468	5.515845597715394e-05
superkingdom	24	3.8918606111850162	1923.9959685071403	0.00012993187613478211	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0006913424991748356	0.0009973963951153176	6.496593806739106e-05
superkingdom	23	3.8918606111850162	1923.9959685071403	8.992646002782531e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0004950291119767181	0.0007141760449444785	4.496323001391265e-05
superkingdom	22	3.8918606111850162	1923.9959685071403	5.848182978587025e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00033451393219455195	0.0004826015910853471	2.9240914892935124e-05
superkingdom	21	3.8918606111850162	1923.9959685071403	0.0001255479687501359	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0006701711930865192	0.0009668526568125613	6.277398437506795e-05
superkingdom	20	3.8918606111850162	1923.9959685071403	3.8944605213780315e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00023067878364500425	0.0003327991372029458	1.947230260689016e-05
superkingdom	2	3.8918606111850162	1923.9959685071403	0.002834525342734914	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.010712123373644434	0.015454327268547577	0.001417262671367457
superkingdom	19	3.8918606111850162	1923.9959685071403	4.957275609784902e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0002876509720580697	0.00041499263089506697	2.478637804892451e-05
superkingdom	18	3.8918606111850162	1923.9959685071403	5.78005447701401e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0003309556622866662	0.00047746809273509585	2.890027238507005e-05
superkingdom	17	3.8918606111850162	1923.9959685071403	6.014248740881169e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0003431708128666627	0.0004950908299005688	3.0071243704405845e-05
superkingdom	16	3.8918606111850162	1923.9959685071403	6.626580539860072e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00037489770607147886	0.0005408630613899708	3.313290269930036e-05
superkingdom	15	3.8918606111850162	1923.9959685071403	0.006184589405229804	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.021349440935378168	0.019433098605933966	0.0030922947026149014
superkingdom	14	3.8918606111850162	1923.9959685071403	0.0024456707831507878	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.009493554987349566	0.008641406149624423	0.0012228353915753939
superkingdom	13	3.8918606111850162	1923.9959685071403	0.0001292185518111108	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0006879027306256048	0.0009924338580875366	6.46092759055554e-05
superkingdom	12	3.8918606111850162	1923.9959685071403	0.0070041118821692104	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.02362662006406246	0.021505876374918333	0.0035020559410846052
superkingdom	11	3.8918606111850162	1923.9959685071403	0.006631646050987776	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.02241031308837577	0.02039874605402845	0.0033158230254938885
superkingdom	10	3.8918606111850162	1923.9959685071403	0.00018667110127614412	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0009594206552419798	0.001384151421444044	9.333555063807204e-05
superkingdom	1	3.8918606111850162	1923.9959685071403	3.714005887609453e-05	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00022087104457347068	0.00031864956068211137	1.8570029438047266e-05
superkingdom	0	3.8918606111850162	1923.9959685071403	0.00010597730038483321	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0005746834416779402	0.0008290929513897661	5.298865019241661e-05
superkingdom	35	3.8918606111850162	1923.9959685071403	0.00013041801582431927	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.000738506193528707	0.0006722173064566998	6.520900791215963e-05
superkingdom	36	3.8918606111850162	1923.9959685071403	0.000252675371494237	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.0012932462985390913	0.0011771635106202424	0.0001263376857471185
superkingdom	8	3.8918606111850162	1923.9959685071403	5.817318156220068e-06	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	3.998771250723765e-05	5.769007453068533e-05	2.908659078110034e-06
superkingdom	38	3.8918606111850162	1923.9959685071403	0.00011920118350311773	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0006393841373601462	0.0009224363241925507	5.9600591751558865e-05
superkingdom	37	3.8918606111850162	1923.9959685071403	0.0004484356737408397	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.0021528999737081916	0.0019596540070730825	0.00022421783687041983
