tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	0	0.0
Gold standard	phylum	Bray-Curtis distance	0	0.0
Gold standard	class	Bray-Curtis distance	0	0.0
Gold standard	order	Bray-Curtis distance	0	0.0
Gold standard	family	Bray-Curtis distance	0	0.0
Gold standard	genus	Bray-Curtis distance	0	0.0
Gold standard	species	Bray-Curtis distance	0	0.0
Gold standard	strain	Bray-Curtis distance	0	0.0
Gold standard	superkingdom	Shannon diversity	0	0.0
Gold standard	superkingdom	Shannon equitability	0	0.0
Gold standard	phylum	Shannon diversity	0	0.061478411510208796
Gold standard	phylum	Shannon equitability	0	0.029564866469169736
Gold standard	class	Shannon diversity	0	0.2988075268956171
Gold standard	class	Shannon equitability	0	0.10338030949801152
Gold standard	order	Shannon diversity	0	0.33313154970175457
Gold standard	order	Shannon equitability	0	0.10224729249552951
Gold standard	family	Shannon diversity	0	0.3747963549631639
Gold standard	family	Shannon equitability	0	0.09580627579211917
Gold standard	genus	Shannon diversity	0	0.381560072623017
Gold standard	genus	Shannon equitability	0	0.07546311775812344
Gold standard	species	Shannon diversity	0	1.4471287693313415
Gold standard	species	Shannon equitability	0	0.22940808276052252
Gold standard	strain	Shannon diversity	0	2.7562084907285826
Gold standard	strain	Shannon equitability	0	0.4130204441703638
Gold standard	superkingdom	True positives	0	1.0
Gold standard	superkingdom	False negatives	0	0.0
Gold standard	superkingdom	False positives	0	0.0
Gold standard	superkingdom	Purity (precision)	0	1.0
Gold standard	superkingdom	Completeness (recall)	0	1.0
Gold standard	superkingdom	F1 score	0	1.0
Gold standard	superkingdom	Jaccard index	0	1.0
Gold standard	superkingdom	Taxon counts	0	1.0
Gold standard	phylum	True positives	0	5.0
Gold standard	phylum	False negatives	0	0.0
Gold standard	phylum	False positives	0	0.0
Gold standard	phylum	Purity (precision)	0	1.0
Gold standard	phylum	Completeness (recall)	0	1.0
Gold standard	phylum	F1 score	0	1.0
Gold standard	phylum	Jaccard index	0	1.0
Gold standard	phylum	Taxon counts	0	5.0
Gold standard	class	True positives	0	8.0
Gold standard	class	False negatives	0	0.0
Gold standard	class	False positives	0	0.0
Gold standard	class	Purity (precision)	0	1.0
Gold standard	class	Completeness (recall)	0	1.0
Gold standard	class	F1 score	0	1.0
Gold standard	class	Jaccard index	0	1.0
Gold standard	class	Taxon counts	0	8.0
Gold standard	order	True positives	0	9.0
Gold standard	order	False negatives	0	0.0
Gold standard	order	False positives	0	0.0
Gold standard	order	Purity (precision)	0	1.0
Gold standard	order	Completeness (recall)	0	1.0
Gold standard	order	F1 score	0	1.0
Gold standard	order	Jaccard index	0	1.0
Gold standard	order	Taxon counts	0	9.0
Gold standard	family	True positives	0	16.0
Gold standard	family	False negatives	0	0.0
Gold standard	family	False positives	0	0.0
Gold standard	family	Purity (precision)	0	1.0
Gold standard	family	Completeness (recall)	0	1.0
Gold standard	family	F1 score	0	1.0
Gold standard	family	Jaccard index	0	1.0
Gold standard	family	Taxon counts	0	16.0
Gold standard	genus	True positives	0	28.0
Gold standard	genus	False negatives	0	0.0
Gold standard	genus	False positives	0	0.0
Gold standard	genus	Purity (precision)	0	1.0
Gold standard	genus	Completeness (recall)	0	1.0
Gold standard	genus	F1 score	0	1.0
Gold standard	genus	Jaccard index	0	1.0
Gold standard	genus	Taxon counts	0	28.0
Gold standard	species	True positives	0	64.0
Gold standard	species	False negatives	0	0.0
Gold standard	species	False positives	0	0.0
Gold standard	species	Purity (precision)	0	1.0
Gold standard	species	Completeness (recall)	0	1.0
Gold standard	species	F1 score	0	1.0
Gold standard	species	Jaccard index	0	1.0
Gold standard	species	Taxon counts	0	64.0
Gold standard	strain	True positives	0	75.0
